| 2014_May_21 | Jay says Mike was in the stream earlier, but didn't say anything and was trying to distract Rich | SOnic 02 | youtube.com/watch?v=a91i9G6Vd64&t=10m03s
| 2014_Jun_25 | Rich explains why Gamestation failed (experimental, lack of feedback, no dialogue) | XCOM Enemy of my Friend (Part 5) | youtube.com/watch?v=-p5oVkyOYtk&t=44m48s, 45m57s
| 2014_Jun_25 | Jay says they probably won't do another 48-hour film festival, because they felt it was just more of the same work they do at RLM | XCOM Enemy of my Friend (Part 5) | youtube.com/watch?v=-p5oVkyOYtk&t=47m37s
| 2014_Jun_25 | Jay says he might do more conventions, once Space Cop is done | XCOM Enemy of my Friend (Part 5) | youtube.com/watch?v=-p5oVkyOYtk&t=48m49s
| 2014_Jun_25 | Jay says he knew exactly what he wanted for Pork Pork in Space, and he's happy with how it came out | XCOM Enemy of my Friend (Part 5) | youtube.com/watch?v=-p5oVkyOYtk&t=51m16s
| 2014_Jun_25 | Jack plays Lady Teetah, Rich says it plays during the lesbian romance scene in Curse of the Wolf | XCOM Enemy of my Friend (Part 7) | youtube.com/watch?v=ROJhGZV_I4M&t=58m32s, 63m
| 2014_Jul_02 | Chat asks Mike how it feels to be surrounded by far-less talented people like Jack around, Mike allegedly smiles | DUCK Tates, TAILS!!! | youtube.com/watch?v=OFm8nCb9NJg&t=5m05s
| 2014_Jul_02 | Rich can be heard in the background filming a breakdance scene for Best of the Worst | Dig Up Stupid Part 2 | youtube.com/watch?v=WjtLnfEpwHQ&t=52m18s
| 2014_Jul_02 | Mike says "Lady Teetah" | Dig Up Stupid Part 2 | youtube.com/watch?v=WjtLnfEpwHQ&t=21m50s
| 2014_Jul_02 | Jack asks chat what "based" means | Dig Up Stupid Part 2 | youtube.com/watch?v=WjtLnfEpwHQ&t=20m55s, 34m28s
| 2014_Jul_02 | Jessi says chat is telling Jack to go to the pond to remove skellington | Dig Up Stupid Part 2 | youtube.com/watch?v=WjtLnfEpwHQ&t=39m09s
| 2014_Jul_02 | Jack explains to Jessi what "remove skellington" means | Dig Up Stupid Part 2 | youtube.com/watch?v=WjtLnfEpwHQ&t=51m11s
| 2014_Jul_02 | Jack says he met Rich through Feeding Frenzy (~2010) | Dig Up Stupid Part 3 | youtube.com/watch?v=Kg9wv7rv2Pk&t=54m14s
| 2014_Jul_02 | Rich says he has seafood allergies | Dig Up Stupid Part 3 | youtube.com/watch?v=Kg9wv7rv2Pk&t=55m52s
| 2014_Jul_02 | Jack says he filmed "Hey, Pass Me a Beer" (the first one) in one day, second one took eight days | Dig Up Stupid Part 3 | youtube.com/watch?v=Kg9wv7rv2Pk&t=56m01s
| 2014_Jul_10 | Working full-time at RLM | Katamari Damacy - With the Gang | youtube.com/watch?v=jh140XkYVKY&t=47m57s
| 2014_Jul_10 | Jessi says RLM takes turns when it comes to who gets to be on BotW | Katamari Damacy - With the Gang | youtube.com/watch?v=jh140XkYVKY&t=48m40s
| 2014_Jul_09 | Rich working at Walgreens, apprentice fire sprinkler fitter | Katamari Damacy - With the Gang | youtube.com/watch?v=jh140XkYVKY&t=89m33s
| 2014_Jul_09 | Jack tells chat he's joking about Rich because he's their friend, Jay says no, it's because they all secretly hate each other | Katamari Damacy - With the Gang | youtube.com/watch?v=jh140XkYVKY&t=92m40s
| 2014_Aug_01 | Josh explains why he's called The Wizard (because, he is, so don't worry about it) | Goldeen, I. N64 With Josh, Jack, and Rich | youtube.com/watch?v=kFASb8BI4sc&t=52m19s
| 2014_Aug_01 | Lady Teetah is playing at the start of the video | Goldeen, I. N64 With Josh, Jack, and Rich | youtube.com/watch?v=kFASb8BI4sc&t=1s
| 2015_Jan_04 | Rich says he wore the Darth Vader mask in the Star Wars droid video for a reason, only time he refused a request from Mike | NaNaNaNa Batman: Arkham Asylum (Part 6) | youtube.com/watch?v=CpO4hTXhG20&t=18m15s
| 2014_Aug_01 | Josh talks about how he met everybody at RLM (he and Jessi were both bassists in separate bands) | Dark Rift - Unplug...then plug it back in. | youtube.com/watch?v=T0bBVi27qUM&t=12m35s
| 2014_Aug_10 | New Space Cop intermission animation, Jack's cat Princess Meatball (https://twitter.com/PreviouslyRec/status/508446880473567234) | Nuclear Throne....Jack Solo Stream | youtube.com/watch?v=DJdBNANI-pk
| 2014_Aug_20 | Rich participated in the 1990 Nintendo World Championship | FT...nope checkers | youtube.com/watch?v=OxfmlRdawMI&t=18m36s
| 2014_Aug_20 | Jay says everyone there has visited The Safe House, because they live in Milwaukee, and everyone in Milwaukee has been there | FT...nope checkers | youtube.com/watch?v=OxfmlRdawMI&t=41m29s
| 2014_Aug_31 | Jack introduces Biscuit | Shovle Night Jack Solo Stream | youtube.com/watch?v=XsL07y3mcs4
| 2014_Aug_31 | Jack says Mike does more of the directing in Space Cop, Jay the cinematography | Tiny Barbarian DX ...tiny Jack Solo Stream (Part 1) | Jack | youtube.com/watch?v=n3lLznvDv5M&t=32m14s
| 2014_Sep_10 | Jay has he's blocked out all memory of the fourth grade | Invisible Inc. Rich Run (Part 2) | youtube.com/watch?v=rQ75gvWLJqo&t=38m02s
| 2014_Sep_13 | Jack says he and Mike bonded over their disdain for John Lennon | Towerfall Ascension... Millennium (Part 2) | youtube.com/watch?v=Kt81K5uU9As&t=20m54s
| 2014_Sep_14 | Jack he says he's never seen a full script, let alone a script, from RLM | Jack Finishes Shovel Knight (Part 1) | youtube.com/watch?v=TafClO1wOrE&t=48m37s
| 2014_Sep_17 | Jack says he is 32 years old | No More Heroes - Sick and Tired (Part 2) | youtube.com/watch?v=9ocHAkOlsAs&t=27m42s
| 2014_Sep_17 | Jack talks about his boss at the video game store | No More Heroes - Sick and Tired (Part 2) | youtube.com/watch?v=9ocHAkOlsAs&t=28m04s
| 2014_Sep_17 | Rich and Jack mention how Previously Recorded got started | Punch Out Wii - Sick and Tired (Part 3) | youtube.com/watch?v=W0SFzqHP1yU&t=17m51s, 18m45s
| 2014_Oct_05 | Jack and Rich says it takes all day to a BotW, Mike is always late, they watch movies back-to-back-to-back | Jack & Rich Chat (Part 1) Solitaire | youtube.com/watch?v=nbtcDYmErWc&t=28m36s
| 2014_Oct_08 | Rich, Jack, and Jay talk about the PreRec, Plinkett, Game Station universe | Guacamelee - No Death Attempt (Part 1.3) | youtube.com/watch?v=yqxa4ukv9o0&t=14m38s
| 2014_Oct_15 | Mike and Rich filmed a movie in high school during a heat wave, worst experience for Rich, says no one will ever see it | Teleglitch - (Part 1) | youtube.com/watch?v=D-3G5Xc7NSw&t=39m36s
| 2014_Oct_15 | Jay says he's the only one who didn't get sick on the set of Gorilla Interrupted | Teleglitch - (Part 1) | youtube.com/watch?v=D-3G5Xc7NSw&t=40m30s
| 2014_Oct_15 | Jay says he's miserable a lot when he shoots large projects, says worst day was a 14-hour shoot for The Recovered | Teleglitch - (Part 1) | youtube.com/watch?v=D-3G5Xc7NSw&t=40m57s
| 2014_Oct_15 | Jack says his worst film experience was as a zombie for Feeding Frenzy, was kept in zombie makeup for 5 hours before filming | Teleglitch - (Part 1) | youtube.com/watch?v=D-3G5Xc7NSw&t=42m26s
| 2014_Oct_19 | Jack says Clerks motivated him to make movies, Rich says it was just Mike pointed a camera at him, was a creative outlet | Super Meat Frauds (Part 2) | youtube.com/watch?v=PAbPG6Ybvnc&t=38m33s
| 2014_Oct_26 | Rich says RLM will market Space Cop the same way they did Oranges, self-distribute it on their website, made about $5 off Oranges | Cavern Kings - (Part 2) Hack & a Half | youtube.com/watch?v=X_bWNL1kMYs&t=19m28s
| 2014_Oct_29 | Jay says they might do more conventions, possibly after they finish Space Cop | Haunt the SPOOKY House: Terrortown | youtube.com/watch?v=CRGDe8h57Ho&t=25m06s
| 2014_Nov_09 | Rich says Mike hates video games, Jack says Mike doesn't come into the streaming room even when he's in the same building | The Binding of Isaac - Rebirth (part 1) | youtube.com/watch?v=6hc8us1ztTI&t=32m13s
| 2014_Nov_12 | Rich says in high school he didn't have a clique, instead hung out with Mike and made stupid movies, met Mike in high school | SUPER DUPER bad SNES brawlers | youtube.com/watch?v=JfRIBW6YVrs&t=18m44s, 20m20s
| 2014_Nov_12 | Rich explains when he met RLM | SUPER DUPER bad SNES brawlers | youtube.com/watch?v=JfRIBW6YVrs&t=21m40s
| 2014_Nov_12 | Rich says he doesn't consider himself an actor, but a mascot, says he feels bad when he has to work with real actors | SUPER DUPER bad SNES brawlers | youtube.com/watch?v=JfRIBW6YVrs&t=22m42s
| 2014_Dec_10 | Rich and Jay talks about the origins of "Oh, my god!", "Ow, my groin!", and "What's wrong with your face?" | Far Cry 3: Blood Dragon | youtube.com/watch?v=YDUCJjBVFxA&t=92m35s
| 2014_Dec_17 | Jay says he knows who J.R. Bookwalter, inspired him to make home movies, also he distributed Oranges: Revenge of the Eggplant | Tie MOTHERFUCKING Fighter (Part 2) | youtube.com/watch?v=uRdSDPLTfKY&t=31m23s
| 2014_Dec_17 | Jay says he's never liked Blockbuster, even as a kid | Tie MOTHERFUCKING Fighter (Part 2) | youtube.com/watch?v=uRdSDPLTfKY&t=32m53s)
| 2014_Dec_17 | Jay says childhood movie store had cult section, discovered John Waters, found Female Trouble and Eraserhead when he moved to Milwaukee | Tie MOTHERFUCKING Fighter (Part 2) | youtube.com/watch?v=uRdSDPLTfKY&t=32m53s
| 2014_Dec_21 | Jack talks about being in a band, selling his keyboard, meeting Jay through band member Dixie | MS PAINT Game Gift Giveaway (Part 01) The Preamble | youtube.com/watch?v=h0DK80PGoN8&t=24m53s
| 2014_Dec_28 | Rich says the interviews Mike films in The United States of No are all authentic | XCOM - the New PC-in-ing (part 3) | youtube.com/watch?v=l5aWyL30n64&t=46m50s
| 2015_Jan_25 | Jack says he met Jay on the set of The Grabowskis, playing Frank Hammer | Rich is Even more Slightly Less Awesome - FTL (Part 2) | youtube.com/watch?v=-hzRbY_GHik&t=17m44s
| 2015_Jan_25 | Jack says he runs a production company with his brother, works for local businesses, makes commercials, web content, promotionals | Rich is Even more Slightly Less Awesome - FTL (Part 2) | youtube.com/watch?v=-hzRbY_GHik&t=18m45s
| 2015_Jan_25 | Jack says he made videos for Funny or Die, was a client of his | Rich is Even more Slightly Less Awesome - FTL (Part 2) | youtube.com/watch?v=-hzRbY_GHik&t=20m40s
| 2015_Jan_28 | Jay says production of original Space Cop trailer in 2009 suspended due to Rich's cat allergy, filming of Space Cop begins Sept-2013 | FTL - The Redeption (Part 3) | youtube.com/watch?v=5hV3aOkCxWA&t=33m
| 2015_Feb_01 | Rich says he had to grow to be Richard William Thomas Evans III | SUPER SUNDAY FOOTBALL (Part 4) | youtube.com/watch?v=-phZH4B1Lvw
| 2015_Feb_18 | Jay talks about editing Best of the Worst, says you can usually tell when him or Mike have an edited an episode, Manhole line | Master of Orion 2 & Jack's Crocodile Brain | youtube.com/watch?v=jvfKeAE5Ozk&t=61m32s
| 2015_Feb_18 | Jack says he wrote and co-directed "Not Quite Dead Yet", isn't fond of revisiting it | Chat Finger Death Punch | youtube.com/watch?v=7a7OJ1qsNLk&t=28m13s
| 2015_Feb_22 | Rich says Space Cop has taken too long, partly due to set-building | We figure out HAND OF FATE (Part 2) | youtube.com/watch?v=CjacgyjXgh8&t=5m01s
| 2015_Mar_08 | Jack says him and Rich got to talking about video games after Rich was building a set one day | Vanquish - Half & a Hack (Part 1) | youtube.com/watch?v=JVDmWetQh8A&t=42m38s
| 2015_Mar_08 | Jack explains that it's Mike's schtick to torment Rich, not anyone else's | Vanquish - Half & a Hack (Part 1) | youtube.com/watch?v=JVDmWetQh8A&t=34m14s
| 2015_Mar_08 | Jack says he use to screen fan-uploaded videos for Funny or Die | Vanquish - Half & a Hack (Part 4) | youtube.com/watch?v=TOe00lVMF7M&t=17s
| 2015_Apr_05 | Rich says Jack is the only non-RLM person to ask him to be in a film production (Poopagain, PI) | More Bloodborne - Hack & a Half (Part 1) | youtube.com/watch?v=KD3EvHitrB8&t=40m40s
| 2015_Apr_05 | Rich says Game Station 2.0 was too awkward to do without another person, Mike & Jay gave Rich blank looks | More Bloodborne - Hack & a Half (Part 1) | youtube.com/watch?v=KD3EvHitrB8&t=42m20s, 44m15s, 46m44s
| 2015_Apr_26 | Rich says he and Mike discussed Phantom Menace, protagonist, note-taking, etc. for first few Plinkett reviews | Convoy - Honk Honk Mither Flipper (Part 2) | youtube.com/watch?v=QzofMHcMhWI&t=71m50s
| 2015_May_03 | Jack says he never recalls getting a script from Mike or Jay, until recently | Rich grabs the Shadow of the Colossus (Part 2) | youtube.com/watch?v=g9bv3ALlP9s&t=35m39s
| 2015_May_03 | Rich says he's a year older than Mike | Rich grabs the Shadow of the Colossus (Part 2) | youtube.com/watch?v=g9bv3ALlP9s&t=40m50s
| 2015_May_03 | Jack talks about his time working in his college's radio station | Rich grabs the Shadow of the Colossus (Part 2) | youtube.com/watch?v=g9bv3ALlP9s&t=68m57s
| 2015_May_10 | Rich and Karin say they're from the South Chicago suburbs | Lego Marvel Super Karen & Rich (Part 2) | youtube.com/watch?v=dI7m9qy0yOo&t=35m50s
| 2015_May_10 | Rich and Karin talk about high school | Lego Marvel Super Karen & Rich (Part 2) | youtube.com/watch?v=dI7m9qy0yOo&t=63m17s
| 2015_Jul_15 | Jay says the hardest he ever saw Mike laugh was at the Michael Showalter stand-up comedian scene in Wet Hot American Summer | Batgirl, Bat Guuurrrl!! (Part 1) | youtube.com/watch?v=rR8IkmQb8MA&t=37m47s
| 2015_Aug_08 | 01:44:16 | Rich and Karin say they don't know how Mike ended up in Arizona, says he was looking to get out of his parents' home | Rocket League (With Karen) | youtube.com/watch?v=yHZjso9vFOU&t=85m43s
| 2015_Aug_12 | Rich tells the backstory of the Wendy's ad | MORE ROCKET LEAGUE] (With Chat) | youtube.com/watch?v=tbebF2cm4sI&t=103m53s, 106m20s
| 2015_Sep_20 | Jack tells chat to quit worrying about Jessi | Shovel Knight- Plague Update (Part 1) | youtube.com/watch?v=jPxzLVukMUE&t=38m27s
| 2015_Sep_20 | Jack says he was the high school photographer, wrote articles for the high school newspaper, was in A/V club | Shovel Knight- Plague Update (Part 1) | youtube.com/watch?v=jPxzLVukMUE&t=27m57s
| 2015_Sep_20 | Rich asks Jack if he remembers when Mike used to say "hack fraud", they can't remember the exact origins | Grinding Binding Tidings (Part 1) | youtube.com/watch?v=_BrkLBMw6QQ&t=17m36s
| 2015_Sep_30 | Rich says the flask bit with him and Mike on BotW was improvised (as all BotW is), says booze was in the flask (Jack and Coke) | Operation Dumbo Dropsy (Part 3) | youtube.com/watch?v=CZD18vbuAn4&t=26m46s
| 2015_Oct_04 | Jay says he went through an anti-mime phase in high school, where he drew pictures of mimes being murdered and unable to call for help | Manhunt, no pun, just Manhunt | youtube.com/watch?v=G-nrTu6WLic&t=44m45s
| 2015_Nov_22 | Rich says he has three sisters and two brothers, and is the oldest of them all | Pacman Championship DX (with the fiancee) | youtube.com/watch?v=chzYKSpl5fw&t=13m53s
| 2015_Dec_02 | Rich says in high school, him and Mike made films under GMP Pictures, the P stands for Pictures, Mike started it before Rich joined | Return of the Undertale (part 1) | youtube.com/watch?v=8PVKfjaJ4-o&t=13m46s
| 2016_Jan_17 | Rich says he's been doing the Plinkett "Oh, my god!" since he was in high school, and that's where Mike's Plinkett gets it from | Blundertale (More Undertale Part 5) | youtube.com/watch?v=T5Nm4XWga30&t=44m
| 2016_Jan_17 | Rich says original Mr. Plinkett was less subdued, says he's mellowed out over the years | Blundertale (More Undertale Part 5) | youtube.com/watch?v=T5Nm4XWga30&t=46m29s
| 2016_Jan_27 | Rich says he's from the South Chicago suburbs | Mediocre. (The Witness Part 2) | youtube.com/watch?v=BfArmFTcuM4&t=42m44s
| 2016_Feb_07 | Rich says his greatest skill is falling down | XCOM on my face (part 1) | youtube.com/watch?v=Rpwyg0SbW90&t=63m13s
| 2016_Feb_07 | Jay says his greatest skill is being punctual, favorite job at RLM is editing | XCOM on my face (part 1) | youtube.com/watch?v=Rpwyg0SbW90&t=63m37s
| 2016_Feb_07 | Rich says if YouTube hadn't contributed to RLM's success, he would've had a forgotten suicide | XCOM on my face (part 1) | youtube.com/watch?v=-JtiSScX78Y&t=12m54s
| 2016_Feb_07 | Rich says The Adventures of Mary-Kate and Ashley Olsen may have indirectly saved his life | XCOM on my face (part 1) | youtube.com/watch?v=-JtiSScX78Y&t=22m51s
| 2016_Apr_18 | Rich says he never had a gamer friend before Jack, says Mike played a Star Trek game once, but quit after a week | Dark borne 3: Souls of the Blood (Part 1) | youtube.com/watch?v=bSZm-d56U00&t=53m52s
| 2016_Apr_18 | Rich says Mike isn't a workaholic, says Mike used to edit movies for free in high school | Dark borne 3: Souls of the Blood (Part 1) | youtube.com/watch?v=bSZm-d56U00&t=54m58s
| 2016_Apr_18 | Rich says his free time was always spent making stupid movies | Dark borne 3: Souls of the Blood (Part 1) | youtube.com/watch?v=bSZm-d56U00&t=54m31s
| 2016_Apr_27 | Jay appears to have moved to Milwaukee in 1999 (maybe summer?), based on premiere of American Movie (Oct. 30, 1999) in Milwaukee | Slash'N'Dash (Part 2) | youtube.com/watch?v=P2HT_BUYZkE&t=22m08s | http://archive.jsonline.com/blogs/entertainment/37531894.html
| 2016_May_11 | Rich says him and Mike made "Richard Edlund vs His Sons" back in their high school days, just fucking around | Fistful of Pun | youtube.com/watch?v=7VYygLshEzM&t=66m01s
| 2016_May_15 | Rich says "The Long Walk Home" might've been taken off the internet due to copyright issues, says might be lost to time | DOOMED (Part 1) | youtube.com/watch?v=pgBsrxujbk8&t=104m07s
| 2016_May_18 | Jack says Eastbound & Down is directly responsible for how he got his job at funny or die | DOOMED (Part 3) | youtube.com/watch?v=rLdKIukgxTo&t=94m37s
| 2016_Jun_01 | Rich talks about how he met Mike and Jay | 20XX Xtreme (Part 1) | youtube.com/watch?v=wkesh4ub6Rs&t=65m17s
| 2016_Jun_01 | Jack says the way he met Jay was one of Jay's friends was a friend of Jack's friend, asked Jack to be in The Grabowski's | 20XX Xtreme (Part 1) | youtube.com/watch?v=wkesh4ub6Rs&t=66m24s
| 2016_Jun_01 | Jack references year he was born (1982) | 20XX Xtreme (Part 2) (Co-op) | youtube.com/watch?v=3B4gXudNLwc&t=103m15s
| 2016_Jun_19 | Jack says he met his wife in high school, he was the high school comedy coach | Dancing Demons | youtube.com/watch?v=ANHVyFEH0F0&t=50m11s
| 2016_Jul_17 | Rich says GMP is the name he and Mike made crappy films under, says all the crap you make in high school is all garbage | Crypts of Necropolis (No Dancing Run) (Part 2) | youtube.com/watch?v=grbwAT_tCJA&t=52m15s
| 2016_Jul_17 | Jack sings the first stanza of Pokemon | Crypts of Necropolis (No Dancing Run) (part 2) | twitch.tv/videos/81973383 | youtube.com/watch?v=grbwAT_tCJA&t=10m10s
| 2016_Jul_20 | Jay talks about Quick Cuts, transition to re:View, had same issue as Game Station 2.0 | BOOring (GhostControl Inc. Part 2) | youtube.com/watch?v=i_T-pCS4IF0&t=2m06s
| 2016_Aug_03 | Karin says The Long Walk Home pretended to be in earnest, Rich was 20-something, The Recovered had a no-Rich-Evans policy | Severed - Cut Off - Removed (Part 1) | youtube.com/watch?v=N9qTEAVgNn8&t=119m39s
| 2016_Aug_03 | Jack talks about making the song for Western Ore Musical (that's not how a song works, Mike!) | Severed - Cut Off - Removed (Part 1) | youtube.com/watch?v=N9qTEAVgNn8&t=121m40s
| 2016_Sep_04 | Rich working at Walgreens as a pharmacy technician | Slay the Orcs!!! (Orcs Must Die) pt.2 | youtube.com/watch?v=KTq9iSOcPKs&t=13m32s
| 2016_Sep_04 | Jay says his brother brought up Dick the Birthday Boy, and didn't know about Rich Evans | Slay the Orcs!!! (Orcs Must Die) pt.2 | youtube.com/watch?v=KTq9iSOcPKs&t=69m48s
| 2016_Sep_14 | Jack and Rich joke about Mike hating Rich just to screw with chat | ReCore-ded Previously (Part 2) | youtube.com/watch?v=khVqDL_66oA&t=65m56s
| 2016_Sep_14 | Rich says he worked at a grocery store at the seafood counter | ReCore-ded Previously (Part 2) | youtube.com/watch?v=kwjaUqSrNsg&t=73m27s
| 2016_Nov_02 | Jack talks about how RLM decides who gets to be in the BotW discussion (usually extemperaneous) | Owlboy and the Funky Bunch | youtube.com/watch?v=VyQJ4Xxbao0&t=46m25s
| 2016_Dec_11 | Jack's favorite BotW moments: Jillian, SOS | X-Classic (Part 2) | youtube.com/watch?v=MBoeqJ-71pc&t=20m12s
| 2016_Dec_11 | Rich's favorite BotW memory is "Elves, Santa Claus, Christmas Vacation 2", Showbiz Pizza | X-Classic (Part 2) | youtube.com/watch?v=MBoeqJ-71pc&t=21m09s
| 2016_Dec_11 | Rich explains why Mike has copious footage of Rich's grandmother (Mike's unhealthy fascination with anything Rich Evans) | X-Classic (Part 2) | youtube.com/watch?v=MBoeqJ-71pc&t=50m01s
| 2016_Dec_28 | Rich's parents filed for divorce when he was an infant | More Merry XCOM (Part 2) | youtube.com/watch?v=a91i9G6Vd64&t=35m53s
| 2017_Jan_15 | Rich says him and Mike were 16 or 17 when they made "Richard Edlund vs His Sons" | Continuing XCOM | youtube.com/watch?v=Fl4q7YuCpXo&t=88m28s
| 2017_Jan_15 | Rich says he's embarrassed by pretty much all the roles he's played, makes him feel uncomfortable to see himself on camera | Continuing XCOM | youtube.com/watch?v=Fl4q7YuCpXo&t=90m03s
| 2017_Jan_18 | Jack says he met Mike and Jay around seven years ago (~2010) | If I Had a WarHammer | youtube.com/watch?v=017x4gC9nBE&t=58m12s
| 2017_Jan_18 | Jack says he had a friend who had a friend who knew Jay, on set as Frank Hammer on Grabowski's (Sep 2007) was first time meeting | If I Had a WarHammer | youtube.com/watch?v=017x4gC9nBE&t=59m31s
| 2017_Jan_22 | Rich says "Choose and Lose" from Ninja Movies BotW might still be around, but less exciting than Plinketto or Wheel, won't see again | A Floppy Jalopy | youtube.com/watch?v=nYV_RRXLBrk&t=41m51s
| 2017_Feb_08 | Jay says Half in the Bag skits are written, but discussion is off-the-cuff | Ni OH MY GOD!!! (Part 2) | youtube.com/watch?v=3gOdBGA5fDs&t=120m5s
| 2017_Feb_08 | Rich says he and Mike had an idea similar to Elysium for one of their high school films | Ni OH MY GOD!!! (Part 2) | youtube.com/watch?v=3gOdBGA5fDs&t=26m37s
| 2017_Feb_15 | Rich says he can only ever be Richard William Thomas Evans III | WWE 2K16 OH YEAH!!! (Part 2) | youtube.com/watch?v=-jba5nLwLDA&t=32m47s
| 2017_Feb_19 | Jack references year he was born (1982) | Ninja Pizza Guuurl | youtube.com/watch?v=8nbekCsS3ow&t=55m25s
| 2017_Feb_22 | Rich says all of his career choices are based on whether Mike thinks he can get Rich to act silly | Under Wrist Over Watch (Part 2) | youtube.com/watch?v=eWFNdm8fnVc&t=82m38s
| 2017_Mar_29 | Jack says Mike and Jay would cut to random gameplay footage for Gamestation videos | Adventures in Attorney-ing (Part 2) | youtube.com/watch?v=p7tZQH2vEA8&t=6m05s
| 2017_Apr_02 | Jack and Rich explain how they pick out movies for Best of the Worst | Kids'N'Crypts | youtube.com/watch?v=ctR09tOERRk&t=99m29s
| 2017_Apr_02 | Rich says he didn't like reading out video game reviews in front of Mike and Jay because they didn't give a reaction | He's a Magic Man | youtube.com/watch?v=X0yVI6gqqpE&t=4m01s
| 2017_Apr_02 | Rich says he's never tried a single drug in his life | He's a Magic Man | youtube.com/watch?v=X0yVI6gqqpE&t=18m27s
| 2017_Apr_07 | In response to a question about "Richard Edlund vs His Sons", Rich says the things he made in high school will haunt him forever | Full of Sp(el)unk! | youtube.com/watch?v=zDvUOsozY-k&t=149m43s
| 2017_Apr_23 | Rich tells a story about him and Mike going to the grocery store to buy one single cucumber for a scene in Oranges | Reap What you D'oh (Shovel Knight: SoT part 2) | youtube.com/watch?v=K-wXUNdc-sQ&t=69m35s
| 2017_May_07 | Rich says Mike dislikes video games because Mike likes being productive | Rumble in the River City (part 2) | youtube.com/watch?v=Bs7EvuruJL8&t=9m12s
| 2017_May_07 | Rich says Mike did the Plinkett reviews for fun, and that if Mike ever got into video games, there might not be the reviews | Rumble in the River City (part 2) | youtube.com/watch?v=Bs7EvuruJL8&t=10m22s
| 2017_May_07 | Jack talks about doing stand-up comedy | Rumble in the River City (part 2) | youtube.com/watch?v=Bs7EvuruJL8&t=49m55s
